% ARFF file Created by Marsyas (ArffFileSink)
@relation result/result.arff
@attribute Chroma_0 real
@attribute Chroma_1 real
@attribute Chroma_2 real
@attribute Chroma_3 real
@attribute Chroma_4 real
@attribute Chroma_5 real
@attribute Chroma_6 real
@attribute Chroma_7 real
@attribute Chroma_8 real
@attribute Chroma_9 real
@attribute Chroma_10 real
@attribute Chroma_11 real

@data
41.992839,-23.923655,-202.870842,-163.224570,-75.759858,34.652176,-63.261944,28.614741,11.633597,23.255584,-15.647785,-9.132086
260.289601,81.728261,105.586159,102.440832,64.073794,18.356967,-9.575814,83.462041,-1.013916,24.731933,24.000816,6.296956
81.310938,21.223437,185.611859,-7.749940,-92.846664,63.745941,-27.979443,-18.263667,6.295979,27.967079,-20.822266,15.050807
146.646113,-20.542791,-316.139503,-22.330867,44.217847,-2.492772,-69.323817,16.253840,16.360084,-47.732432,10.981302,-1.603976
216.595420,-9.782866,225.554454,57.481330,-1.031643,-42.520451,30.234602,-30.484318,12.047045,-19.439094,6.227894,33.223243
-91.835523,53.678850,139.058091,-34.583600,-31.344162,-28.910582,-107.207338,-60.447479,3.633631,-59.718417,-5.562745,-18.976338
136.364306,-13.325583,-445.805572,24.757865,-13.849448,-85.100709,54.881567,-9.039381,-53.951067,-17.113008,-18.636810,14.704325
169.363817,-6.799886,413.086667,-61.756461,3.355096,99.525409,-74.522367,-100.531820,17.541887,-14.564634,27.065198,8.527228
-129.984565,42.110492,-33.412205,-53.976027,-10.061647,-82.698143,5.091849,-17.570902,-8.422487,-73.241787,-24.216696,17.316526
48.655214,33.366052,-403.962630,81.723887,112.534432,53.376098,18.751377,-26.915504,9.665024,28.311319,4.800024,39.569692
186.403393,-25.342241,615.487437,-108.836603,-47.615361,-43.619376,-48.690876,-167.073853,-30.611644,-122.037600,8.430515,24.910602
-308.769897,32.951116,-348.281139,75.717919,91.970596,-41.938060,67.226574,-38.364412,46.062210,-13.838301,-3.239916,41.834430
-81.930080,-17.408444,-72.707992,21.967026,100.719956,-83.987978,-38.549330,-43.306249,34.704499,-54.259963,5.461722,12.317767
-73.267949,48.439386,406.244135,-37.659597,-69.611353,-64.171280,40.398993,-148.032239,-58.100084,-97.082567,-12.319472,1.922898
-454.470214,-88.872854,-405.499197,48.168204,56.256289,-113.957559,21.893145,22.288982,-15.752481,36.962300,17.758901,-6.601309
33.083108,69.697423,98.993860,-85.200955,4.279399,72.671628,-4.316706,19.749035,19.196171,-55.883765,-25.962758,-16.884484
-186.324206,33.908541,184.262716,11.296878,7.682185,-71.454382,44.535421,13.074248,-12.704400,94.813620,10.562848,11.950711
-295.485410,-78.858313,-218.185678,36.474124,61.580507,124.503408,10.363386,36.706090,-8.939626,3.445193,12.498959,-20.872828
225.106815,109.639892,47.365608,-63.232718,-53.126576,-64.728403,11.106424,88.573528,18.438155,-3.783918,-25.890505,12.023343
-183.256376,-98.803809,215.411165,113.737509,59.323466,23.925182,18.892407,-18.576015,13.697800,36.655023,39.555819,-17.902478
-233.980044,29.617111,-215.558369,-46.706000,-10.974756,-58.851514,0.856449,82.389074,71.860642,25.835845,-29.500155,-19.488956
321.244751,29.561871,-30.030734,31.658989,-53.349426,57.922455,7.267015,87.798137,-127.255860,36.688409,7.919412,-36.342771
-134.408156,-120.364679,281.519432,14.816895,-111.114856,-58.868769,-19.237877,-88.945646,41.211574,-4.497540,6.383644,-31.133080
-14.726252,91.568193,-325.736315,-151.668850,64.025969,125.852339,11.290621,232.166745,18.879658,78.322436,-14.715666,-16.021353
475.572640,12.094846,7.336928,134.037376,-71.917282,-0.851667,-30.315036,-5.877543,-35.198671,21.212459,-0.316675,2.558689
-9.050740,-91.775830,422.872428,-78.242767,-30.105129,177.442571,6.791147,-140.783380,-29.319679,50.392802,15.572295,10.702838
135.375151,83.268255,-527.600925,-35.349446,36.450627,-96.411357,-32.217251,183.783386,40.158685,-81.471109,-18.325695,39.781758
367.053038,-31.028568,251.047438,128.035794,50.153977,73.154362,-10.970433,-179.784763,85.383059,-24.489792,32.813195,28.617535
-224.786811,-45.294739,331.820992,-23.245024,-4.406117,-171.605480,-5.417065,-115.291652,-54.492641,-54.512155,-37.778986,8.673391
33.660256,-1.387873,-702.538117,10.565868,-37.928237,38.563669,-37.144261,14.855200,-75.710515,-76.046164,32.579762,23.772701
127.139962,-41.130264,528.817410,-49.029243,8.952771,-147.881569,3.219716,-150.374994,76.687312,-50.155928,-22.216617,-2.816137
-379.721286,89.831122,-43.182768,3.744542,117.092441,65.915059,4.537838,86.847391,17.367021,-10.631269,-5.304314,31.167785
109.035857,-114.932584,-401.363686,61.725448,-67.561316,-43.577488,-35.458948,-154.165726,-149.727717,-34.570120,14.511279,16.733792
-13.988929,33.705089,455.651253,-154.625909,91.258372,20.249697,49.859484,32.989733,99.872444,1.358523,-18.661076,26.058678
-359.323274,75.098422,-74.034044,136.428543,119.310795,-58.719769,-16.256778,83.329546,63.920950,-47.040741,33.525803,35.095898
-27.210188,-98.443642,-282.257130,83.811998,30.464552,-40.969963,13.485155,-201.150689,-16.298563,-42.908718,-33.210380,1.042918
-115.504218,-72.723321,379.744312,-130.357898,-27.375192,-128.967127,53.619739,99.718711,-74.630238,24.502056,28.867763,-18.687183
-415.065200,99.583766,-129.003358,85.045113,78.540327,-14.207136,-40.490670,66.127693,71.627476,-38.226192,-15.055855,-30.552920
-27.489687,-35.363958,-296.646636,-12.743071,-42.465605,-33.399869,100.795767,-81.574175,20.040275,97.859883,-2.960831,-23.733744
68.719614,-107.834956,447.301345,-83.577404,-6.023713,78.251566,-43.485017,224.016931,-115.163929,25.600062,-11.456873,-51.350906
-219.112701,76.339220,-260.399864,20.122377,-60.025389,41.298408,83.866507,-51.764901,18.060235,64.759885,25.505153,-13.104452
194.922167,22.064676,-136.484355,-97.289390,93.177164,74.232845,-3.350197,66.699924,37.370438,92.582189,-22.762306,13.342600
262.430549,-30.612260,448.488674,166.943918,-43.003610,78.789198,28.634688,120.822065,88.805201,-1.118352,11.646210,-21.521111
-178.095720,-73.866022,-284.411300,-74.704462,8.698199,-31.771654,49.191106,-223.884520,-126.858531,34.261388,10.799621,17.549631
169.584926,33.629235,-118.806124,-10.946756,-38.678938,-37.069884,-42.545837,135.361388,92.618725,-74.569427,-2.207553,-39.565624
118.632068,-13.228074,443.053535,136.497454,-48.935415,-65.217224,96.329495,-85.535049,1.829375,45.625208,-10.154264,5.172459
-179.800295,-34.182414,-493.915756,-178.172112,-36.272957,84.995819,-103.035507,-66.322246,-83.311072,-2.029563,1.435836,-18.196513
368.423903,-30.843600,150.133453,85.909101,-14.173311,2.689328,122.269491,134.175251,11.466336,50.941895,2.628018,-11.758062
-113.218092,60.827850,276.275526,-40.287653,-39.350080,82.966617,-114.880763,-183.819054,6.570633,-58.441792,-5.674308,30.999729
-29.684160,-4.067976,-494.332897,-45.557321,60.006176,-63.291211,91.705701,195.360668,36.966479,-22.592832,6.050529,19.044487
420.215555,-46.330076,395.044883,205.932935,27.098132,92.920895,-56.627669,-90.537917,-49.489849,70.290113,0.980373,40.509118
-333.031306,12.669737,51.367699,-209.823485,-33.717724,-108.938397,-12.919227,-224.291688,64.085813,-152.088863,11.495275,0.664425
-202.284071,6.794189,-439.616480,170.071823,117.570243,-46.395592,46.922085,396.962260,23.698482,47.586437,-6.304959,10.590323
291.087003,-12.761150,467.202599,43.032562,-22.772731,-112.387382,-97.690300,-323.232052,-40.855908,-125.485593,-2.309771,5.009452
-445.241634,-59.964000,-124.998686,-194.991604,-136.434808,22.394130,98.239058,52.088009,-59.801831,73.081790,-3.211799,-54.105629
-69.355337,29.728876,-439.964358,134.394280,154.485007,-26.928963,-104.993669,372.344302,34.240251,48.360651,8.207030,14.611368
280.054294,87.144356,663.149374,-180.911932,-3.184914,143.962039,64.304802,-342.894009,3.796387,-6.901260,-18.300790,17.062851
-364.372808,-51.963722,-345.782157,144.963099,-51.033846,-27.472808,-12.046268,313.605322,8.516327,51.865596,18.206894,-19.630732
277.537749,-53.000126,-224.418301,-0.182793,131.963242,4.805252,-41.663666,36.967153,-36.965279,-55.078989,0.774252,41.031102
-63.884745,104.594624,704.629593,-153.607580,-31.523392,-19.957351,85.920502,-328.045911,108.126532,77.710279,4.842929,-20.489427
-362.087499,-18.542473,-635.138836,294.629116,-6.217512,-68.183740,-93.911974,443.267681,1.086849,-68.463540,-7.198201,5.345604
421.093768,-112.914551,59.728298,-140.203683,35.240759,8.069432,78.145127,-319.068657,-123.641733,44.432725,13.080172,-15.739835
-243.060020,118.807953,561.281883,-106.934288,-216.945345,-16.152293,-43.745121,-6.527161,75.676217,-7.342251,-30.686988,-54.100001
-308.707944,-21.890362,-812.831108,236.315648,229.263064,-60.947901,-5.862394,336.442425,17.821269,27.008387,36.046441,22.857158
640.916394,-12.903431,449.774346,-273.504886,-205.542289,211.633315,48.897056,-309.315084,-65.940687,125.415094,-35.624167,-25.463724
-99.229123,83.653970,251.306959,241.136514,-34.959275,-50.781665,-93.937565,192.060573,-12.754874,-69.475968,8.644371,2.828652
-160.559206,-72.230401,-644.337844,-150.063218,165.569941,76.212552,91.967590,-13.748494,68.906402,47.515657,28.584173,27.658447
537.201243,138.776984,505.625496,47.596767,-120.575889,-80.909326,-87.107195,-85.408693,117.500483,-18.992662,-33.169149,-19.984635
-90.418914,-149.458246,125.658781,241.516418,5.318085,2.454012,30.664711,49.822453,-202.939423,-21.891324,19.371484,35.587815
-147.987876,56.675166,-592.879068,-380.403518,-43.399747,-27.911508,-16.706574,-152.337972,75.773897,-11.610487,-8.708209,-65.912776
479.333389,113.381434,406.670448,242.540496,-7.852105,-19.060091,-27.068324,136.104704,64.349136,-5.807988,2.236239,20.284962
-264.596178,-149.279271,211.430590,-42.867655,6.585782,14.444504,16.100607,-127.747018,-86.276436,-18.876056,-13.605912,19.212212
88.693632,110.144021,-656.406592,-241.553981,-24.410784,54.225412,-37.455323,32.274304,-39.333960,55.129803,0.498492,-37.889184
547.805052,44.397429,434.711537,299.462860,-5.904747,29.480710,11.968976,24.793912,42.026821,-59.123104,17.287110,51.394770
-625.355091,-41.306663,368.159074,-298.905376,140.431871,-4.704378,6.849210,-186.035547,124.865286,-29.446723,-14.611377,20.740581
254.737669,38.388259,-964.015557,230.125070,-100.660712,-90.642033,-38.850086,125.728573,-170.989837,-66.710405,-7.510083,4.552450
349.755079,-60.906221,801.460286,-67.073853,81.083495,-10.994049,59.099631,-227.447560,42.992594,18.042554,32.004546,29.424782
-937.884799,93.353270,113.591399,-167.929586,-25.887619,-3.116170,-57.182522,-1.061680,103.385069,-82.074582,-20.968528,-32.278668
350.219505,21.269723,-1128.455222,359.171517,38.866309,-125.105915,47.516397,120.913341,-103.589845,-13.153992,-28.618414,31.877808
106.468163,-197.536295,1369.863267,-387.796340,-13.487362,103.730525,-5.185389,-303.243775,-38.728008,25.824111,58.900349,-28.518121
-789.781085,260.824334,-600.371382,112.422429,-123.086012,-105.553433,-22.607574,320.020963,33.747456,-67.159304,-64.222637,-11.577819
470.522282,-57.304003,-729.750805,179.978904,229.277000,172.746699,75.981356,-103.736959,41.646794,190.129631,46.315420,31.148695
75.299958,-92.704074,1634.722315,-333.231302,-170.269906,-20.946311,-104.685204,-119.900709,-20.192584,-162.916353,-25.511203,-27.950705
-656.538295,86.213499,-1323.415455,368.499250,56.636521,-64.180855,119.003094,318.832651,-55.298291,82.403201,17.484790,17.249156
601.443519,-57.305437,35.512766,-269.103712,-33.719312,34.126653,-109.714471,-299.355040,67.643001,5.935474,-4.979998,-41.803832
26.276194,134.245273,1191.392180,100.473471,21.039464,58.719439,54.297666,193.404822,41.143839,-1.422356,-17.044516,-0.160306
-526.387145,-248.524168,-1398.444996,134.176023,-110.372033,-24.222384,-27.740866,-28.287811,-171.539750,106.096631,43.927628,20.785633
894.726932,176.942638,424.355489,-405.040488,33.534313,119.398220,-87.786229,-7.061613,151.497558,-128.762392,-65.926350,-74.844960
-175.821020,36.460411,796.456869,436.277196,34.345867,-88.233767,108.475829,80.339848,-78.935120,145.942680,59.226495,67.642319
-298.423442,-198.094817,-1247.570939,-277.307566,-123.496582,192.483747,-217.746398,-160.503946,48.259599,-140.061140,-21.355062,-0.012765
1084.739981,127.476906,565.192494,14.021330,147.021928,-112.732659,163.102094,239.635773,-60.440509,142.279141,-18.071700,13.543374
-576.155425,17.302185,642.782225,215.834685,-85.439579,131.815117,-214.105971,-346.133616,13.964384,-174.034699,41.189888,42.299078
-227.721020,-114.410482,-1314.389890,-294.740772,104.767720,-211.868745,74.325873,150.909564,156.669675,-64.257185,-21.509499,10.901236
1010.794111,24.206411,816.350205,324.483106,-5.711380,132.145069,-52.631397,82.338788,-252.999017,73.500973,-9.962169,52.185915
-966.808460,-16.631282,455.859234,-171.241953,-31.928414,-199.735748,-138.025653,-475.512128,173.666705,-233.338836,28.408624,-19.863584
-256.461823,-15.407332,-1462.201196,-75.728650,107.468037,106.789576,173.417788,576.914843,-70.681965,182.190060,-32.839897,37.914310
1000.361786,53.485505,1123.080995,308.926528,56.915836,-146.520355,-268.521169,-288.024977,50.929183,-248.992003,21.689031,17.460106
-1260.115887,-201.528823,375.157446,-354.387201,-85.643265,111.822681,230.113258,-229.357100,-88.772754,89.571298,-4.896002,-1.737148
-29.794971,172.477467,-1834.222274,198.285674,135.997625,-218.113972,-193.709213,744.132090,14.065792,-16.229385,-24.171348,18.771971
867.666469,-54.855905,1848.200018,19.325352,112.160017,232.052029,152.126153,-741.892268,115.551138,-38.640864,55.861754,-17.282613
-1474.607564,-83.533052,-308.685442,-196.064572,-152.468580,-210.607443,-39.313863,311.823537,-122.285875,30.636747,-77.785922,42.778127
651.953842,-24.640680,-1584.867270,256.516346,249.508401,115.082479,29.645946,283.580841,-34.227560,-93.994653,78.058146,-19.981734
120.299759,78.029976,2207.267931,-292.532963,-113.799424,-128.004358,117.554351,-710.769032,151.912007,136.518774,-53.956181,-23.043936
-1177.182470,-37.228863,-1119.700888,183.947916,117.477260,104.213472,-40.709619,656.611267,-62.678532,-89.441401,30.295717,32.918816
1010.524375,-198.902867,-795.364168,48.968577,14.601788,-83.124358,147.636354,-408.647666,-118.118019,48.702152,-17.073065,-21.873792
-373.205684,207.254543,1874.021737,-384.939817,-117.957895,74.076175,-17.886330,-151.327476,107.617873,-8.981362,4.614300,-22.581271
-843.460261,-96.825482,-1343.593256,461.660156,192.287985,-104.978972,146.058765,488.001578,3.449260,34.596138,17.362043,2.152119
1020.556208,-43.198844,-363.947226,-229.399993,-52.134447,198.063104,-27.364411,-668.150259,21.899762,70.221020,-36.218682,21.744471
