% ARFF file Created by Marsyas (ArffFileSink)
@relation output.arff
@attribute Chroma_0 real
@attribute Chroma_1 real
@attribute Chroma_2 real
@attribute Chroma_3 real
@attribute Chroma_4 real
@attribute Chroma_5 real
@attribute Chroma_6 real
@attribute Chroma_7 real
@attribute Chroma_8 real
@attribute Chroma_9 real
@attribute Chroma_10 real
@attribute Chroma_11 real

@data
-17.598088,-20.026074,-15.658616,-0.950313,-29.586862,-20.493304,-13.856239,-17.341565,-23.810503,-24.951896,-28.568272,-27.352393
-12.465673,-25.689398,-20.898990,-4.358556,-20.041100,-31.267173,-21.174233,-20.117380,-29.637831,-18.181466,-35.047538,-26.944557
-16.461426,-32.946160,-16.438151,-9.868665,-30.997471,-13.324558,-25.208754,-13.473967,-21.607573,-24.344809,-26.356926,-25.409270
-14.454983,-30.852811,-19.752620,-11.311056,-21.128486,-18.730562,-24.269031,-15.421596,-19.841916,-35.183820,-44.064041,-27.376660
-25.047395,-30.093315,-21.012219,-4.666155,-18.387098,-31.315083,-20.891818,-6.197403,-18.508914,-26.075075,-40.940112,-28.196970
-24.141922,-25.387048,-18.452043,-3.475530,-17.335139,-29.111433,-18.540138,-16.403033,-14.030275,-34.246492,-32.966431,-24.905817
-22.975064,-16.713046,-11.685727,-3.555560,-12.666767,-31.015381,-20.181671,-9.998534,-23.687084,-28.708838,-16.841513,-17.775667
-14.733397,-10.803099,-12.763249,2.682046,-8.083274,-22.214797,-12.674557,-5.848419,-22.828271,-19.944714,-20.574524,-19.955191
-12.579428,-12.337845,-6.374189,-0.028715,-7.904069,-22.128289,-12.110017,-2.977850,-1.838674,-23.078803,-18.164973,-13.144876
-8.377787,-15.608856,-6.346612,9.092771,-18.242835,-16.140991,-16.484865,-10.354494,-6.373813,-14.634116,-17.704505,-19.210453
-14.461169,-8.360889,-5.332233,4.501004,-13.327656,0.086954,-11.438708,-6.910785,-9.463766,-11.233915,-17.243126,-11.315044
-6.403967,-19.766498,-18.928587,-2.956818,-12.502481,-15.114045,-11.763272,-5.260523,-6.602238,-26.413839,-28.920020,-25.205784
-5.675192,-17.108549,-13.972118,0.543976,-13.572172,-13.732497,-19.389000,-3.930479,-11.566056,-22.945869,-28.114778,-15.951140
-3.510318,-15.321154,-17.873112,1.153822,-17.497425,-13.586526,-16.460853,5.412717,-6.235772,-16.909322,-25.204804,-19.551116
-7.756277,-18.469897,-9.667692,5.377025,-12.087680,-13.306936,-11.821444,0.746897,1.715895,-17.637698,-17.744239,-17.280864
-3.003818,-8.608693,-8.619584,8.636711,-2.798535,-5.927863,-6.828581,4.394425,9.401864,-19.570840,-11.092443,-17.623142
-9.102204,-2.806841,-2.477472,2.049382,0.708675,-17.115427,-10.071955,15.507424,8.407753,-13.428940,-22.674677,-12.239747
2.903286,-3.441036,-4.277661,14.800595,-5.271426,-16.722256,-3.405600,11.439902,1.564710,-12.569239,-14.531225,-7.855375
-4.375743,3.880792,-4.399642,13.737089,3.166548,-14.063706,-11.657612,24.302343,5.795575,-13.412886,-4.615213,-2.098428
-0.341600,-6.161825,4.424625,12.802306,7.678427,-16.409455,-17.250774,6.063080,16.923067,-16.064247,-1.963365,7.356447
3.474780,1.478989,-3.527862,-2.903207,8.499224,-9.581030,-10.112337,16.208411,4.285608,-6.008005,-10.945994,3.492207
0.918361,-0.726020,0.606255,2.023355,5.540709,-15.492401,-10.404898,8.114851,8.249607,-18.547827,-15.199923,-8.300933
-5.435299,-5.451720,-1.512582,9.863720,3.034701,-11.877891,-11.171206,19.596047,14.500363,-8.497811,-13.809880,-1.586105
-3.179845,-1.703184,4.050994,12.318416,12.872277,-2.477459,-2.272073,19.295368,7.621589,-12.913411,-5.990202,4.342486
4.141449,6.903056,8.814669,18.905671,8.828815,-12.768244,-7.216565,30.229606,20.499943,-11.482063,6.106550,6.308619
7.481434,-6.086681,6.057522,17.818441,10.286662,-2.309501,-2.588725,21.683689,10.247589,-14.690749,-10.988760,11.004458
5.071348,4.988492,2.132063,21.227935,11.168297,-8.074839,-8.001813,23.702348,17.615276,-3.955620,-0.023209,11.538215
8.444433,-0.432957,5.906738,15.670488,13.856904,-10.834082,-8.153816,17.735304,10.613870,-8.555450,-2.104617,0.229534
-2.976816,0.321692,3.325840,8.781381,2.671441,-5.855083,-16.039621,14.694121,14.568904,-5.829691,0.310503,4.338033
-2.580677,1.592468,3.006742,12.045201,1.670013,-10.792898,-14.625130,16.638894,13.292750,-14.224702,-14.989180,5.216972
-0.341074,-3.969608,1.171803,-1.306888,-6.515452,-16.403559,-12.314340,29.719817,14.561578,-18.868341,-3.526896,7.382142
